author_norm,author_name,publication_count,first_author_count
philippe martinet,Philippe Martinet,38,0
ezio malis,Ezio Malis,30,2
minh quan dao,Minh-Quan Dao,7,3
emmanuel alao,Emmanuel Alao,7,7
nicolas gutowski,Nicolas Gutowski,6,0
lounis adouane,Lounis Adouane,6,0
fabien lionti,Fabien Lionti,6,6
sebastien aubin,Sébastien Aubin,6,0
ziming liu,Ziming Liu,5,4
vincent fremont,Vincent Frémont,5,0
anne spalanzani,Anne Spalanzani,4,0
enrico fiasche,Enrico Fiasché,4,4
diego navarro,Diego Navarro,4,3
raphael antoine,Raphael Antoine,3,0
olivier kermorgant,Olivier Kermorgant,3,0
stewart worrall,Stewart Worrall,3,0
mao shan,Mao Shan,3,0
maria kabtoul,Maria Kabtoul,2,2
monica fossati,Monica Fossati,2,2
andrea pagnini,Andrea Pagnini,2,2
guillaume allibert,Guillaume Allibert,2,0
patrick rives,Patrick Rives,2,0
pardeep kumar,Pardeep Kumar,2,0
franco fusco,Franco Fusco,2,2
julie stephany berrio,Julie Stephany Berrio,2,0
matteo azzini,Matteo Azzini,2,2
mathilde theunissen,Mathilde Theunissen,2,2
elwan hery,Elwan Héry,2,0
el mustapha mouaddib,El Mustapha Mouaddib,2,0
stefan larsen,Stefan Larsen,2,2
isabelle fantoni,Isabelle Fantoni,2,0
pinet francois,Pinet François,1,0
pinki puniya,Pinki Puniya,1,0
pierre charbonnier,Pierre Charbonnier,1,1
philipe martinet,Philipe Martinet,1,0
zhenzhen liu,Zhenzhen Liu,1,0
philippe foucher,Philippe Foucher,1,0
ouiddad igbida labbani,Ouiddad Igbida Labbani,1,0
perrot yann,Perrot Yann,1,0
peng jiang,Peng Jiang,1,0
paolo robuffo giordano,Paolo Robuffo Giordano,1,0
pradel marilys,Pradel Marilys,1,0
olivier simonin,Olivier Simonin,1,0
zhijie qu,Zhijie Qu,1,0
najjar maan el badaoui el,Najjar Maan El Badaoui El,1,0
pradalier cedric,Pradalier Cédric,1,0
xuchen lin,Xuchen Lin,1,0
q daniel wang,Q. Daniel Wang,1,0
rafael balderas hill,Rafael Balderas Hill,1,1
wei lun chao,Wei-Lun Chao,1,0
viviane cadenat,Viviane Cadenat,1,0
varsha devi,Varsha Devi,1,1
tournebize regis,Tournebize Régis,1,0
thomas genevois,Thomas Genevois,1,0
thomas campagnolo,Thomas Campagnolo,1,1
yingjie jing,Yingjie Jing,1,0
sonam kumari mina,Sonam Kumari Mina,1,0
zezhong liang,Zezhong Liang,1,0
simon weng,Simon Weng,1,0
siddharth singh savner,Siddharth Singh Savner,1,0
seung hyun song,Seung-Hyun Song,1,1
seung hyun kong,Seung-Hyun Kong,1,0
selma oubouabdellah,Selma Oubouabdellah,1,1
sebastien briot,Sébastien Briot,1,0
mohammed chadli,Mohammed Chadli,1,0
sanjay,. Sanjay,1,1
sampat kumar choudhary,Sampat Kumar Choudhary,1,0
xinkai chen,Xinkai Chen,1,0
roland lenain,Roland Lenain,1,1
raphael antoine,Raphaël Antoine,1,0
salvador dominguez quijada,Salvador Domínguez-Quijada,1,0
abdelhamid chriette,Abdelhamid Chriette,1,0
mezouar youcef,Mezouar Youcef,1,0
david perez morales,David Pérez-Morales,1,1
hery elwan,Hery Elwan,1,0
haixin sun,Haixin Sun,1,1
gaetan bahl,Gaétan Bahl,1,0
fremont vincent,Fremont Vincent,1,0
francois chaumette,François Chaumette,1,0
fangzhou jiang,Fangzhou Jiang,1,0
escareno juan antonio,Escareno Juan Antonio,1,0
dong yang,Dong Yang,1,1
dong hee paek,Dong-Hee Paek,1,0
desire sidibe,Désiré Sidibé,1,0
danes patrick,Danès Patrick,1,0
jana vrablikova,Jana Vráblíková,1,1
d b fisher,D. B. Fisher,1,0
christian laugier,Christian Laugier,1,0
chapuis roland,Chapuis Roland,1,0
celine peroux,Céline Péroux,1,0
brice marc,Brice Marc,1,0
bharath hariharan,Bharath Hariharan,1,0
barbara catinella,Barbara Catinella,1,0
aravecchia stephanie,Aravecchia Stéphanie,1,0
anh lam do,Anh-Lam Do,1,0
amine bohi,Amine Bohi,1,0
holger caesar,Holger Caesar,1,0
jie wang,Jie Wang,1,0
mark campbell,Mark Campbell,1,0
lister staveley smith,Lister Staveley-Smith,1,0
marco medici,Marco Medici,1,0
manon predhumeau,Manon Prédhumeau,1,0
amar faiz ben,Amar Faiz Ben,1,0
manish kumawat,Manish Kumawat,1,0
malis ezio,Malis Ezio,1,0
luiz alberto serafim guardini,Luiz Alberto Serafim Guardini,1,1
luis c ho,Luis C. Ho,1,0
lucet eric,Lucet Eric,1,0
luca cortese,Luca Cortese,1,0
loic sauvee,Loïc Sauvée,1,0
li shao,Li Shao,1,0
jing wang,Jing Wang,1,0
laurent buse,Laurent Busé,1,0
laneurit jean,Laneurit Jean,1,0
lalit kumar,Lalit Kumar,1,0
kuladip prakash shinde,Kuladip Prakash Shinde,1,0
kilian q weinberger,Kilian Q Weinberger,1,0
kaushik bhowmik,Kaushik Bhowmik,1,1
katie z luo,Katie Z Luo,1,1
julien moreau,Julien Moreau,1,0
julie stephany berrio perez,Julie Stephany Berrio Perez,1,0
julie dugdale,Julie Dugdale,1,0
manju bochaliya,Manju Bochaliya,1,0
